TIME_PERIOD,index,OECD_MATERIAL_RESOURCES_DMC_AUT,OECD_MATERIAL_RESOURCES_DMC_CHN,OECD_MATERIAL_RESOURCES_DMC_DEU,OECD_MATERIAL_RESOURCES_DMC_DNK,OECD_MATERIAL_RESOURCES_DMC_EA19,OECD_MATERIAL_RESOURCES_DMC_EU27_2020,OECD_MATERIAL_RESOURCES_DMC_OECDA,OECD_MATERIAL_RESOURCES_DMC_OECDSO,OECD_MATERIAL_RESOURCES_DMC_POL,OECD_MATERIAL_RESOURCES_DMC_SWE,OECD_MATERIAL_RESOURCES_DMC_USA,OECD_MATERIAL_RESOURCES_MF_CHN,OECD_MATERIAL_RESOURCES_MF_OECDA,OECD_MATERIAL_RESOURCES_MF_OECDSO,OECD_MATERIAL_RESOURCES_MF_USA,OECD_MEI_BTS_COS_SP_AUT,OECD_MEI_BTS_COS_SP_CHE,OECD_MEI_BTS_COS_SP_DEU,OECD_MEI_BTS_COS_SP_DNK,OECD_MEI_BTS_COS_SP_EA19,OECD_MEI_BTS_COS_SP_POL,OECD_MEI_BTS_COS_SP_SWE,OECD_MEI_CLI_CBC_AUT,OECD_MEI_CLI_CBC_CHE,OECD_MEI_CLI_CBC_CHN,OECD_MEI_CLI_CBC_DEU,OECD_MEI_CLI_CBC_DNK,OECD_MEI_CLI_CBC_EA19,OECD_MEI_CLI_CBC_EU27_2020,OECD_MEI_CLI_CBC_OECD,OECD_MEI_CLI_CBC_OECDE,OECD_MEI_CLI_CBC_POL,OECD_MEI_CLI_CBC_SWE,OECD_MEI_CLI_CBC_USA,OECD_MEI_CLI_CCP_AUT,OECD_MEI_CLI_CCP_CHE,OECD_MEI_CLI_CCP_CHN,OECD_MEI_CLI_CCP_DEU,OECD_MEI_CLI_CCP_DNK,OECD_MEI_CLI_CCP_EA19,OECD_MEI_CLI_CCP_EU27_2020,OECD_MEI_CLI_CCP_OECD,OECD_MEI_CLI_CCP_OECDE,OECD_MEI_CLI_CCP_POL,OECD_MEI_CLI_CCP_SWE,OECD_MEI_CLI_CCP_USA,OECD_MEI_CLI_CLI_CHN,OECD_MEI_CLI_CLI_DEU,OECD_MEI_CLI_CLI_USA,OECD_MEI_FIN_IRII_AUT,OECD_MEI_FIN_IRII_CHE,OECD_MEI_FIN_IRII_CHN,OECD_MEI_FIN_IRII_DEU,OECD_MEI_FIN_IRII_DNK,OECD_MEI_FIN_IRII_EA19,OECD_MEI_FIN_IRII_POL,OECD_MEI_FIN_IRII_USA,OECD_MEI_FIN_IRLT_AUT,OECD_MEI_FIN_IRLT_CHE,OECD_MEI_FIN_IRLT_DEU,OECD_MEI_FIN_IRLT_DNK,OECD_MEI_FIN_IRLT_EA19,OECD_MEI_FIN_IRLT_POL,OECD_MEI_FIN_IRLT_SWE,OECD_MEI_FIN_IRLT_USA,OECD_MEI_FIN_IRN_CHE,OECD_MEI_FIN_IRN_CHN,OECD_MEI_FIN_IRN_DNK,OECD_MEI_FIN_IRN_EA19,OECD_MEI_FIN_IRN_POL,OECD_MEI_FIN_IRN_SWE,OECD_MEI_FIN_IRRE_AUT,OECD_MEI_FIN_IRRE_CHE,OECD_MEI_FIN_IRRE_CHN,OECD_MEI_FIN_IRRE_DEU,OECD_MEI_FIN_IRRE_DNK,OECD_MEI_FIN_IRRE_EA19,OECD_MEI_FIN_IRRE_POL,OECD_MEI_FIN_IRRE_SWE,OECD_MEI_FIN_IRRE_USA,OECD_MEI_FIN_IRST_AUT,OECD_MEI_FIN_IRST_CHE,OECD_MEI_FIN_IRST_CHN,OECD_MEI_FIN_IRST_DEU,OECD_MEI_FIN_IRST_DNK,OECD_MEI_FIN_IRST_EA19,OECD_MEI_FIN_IRST_POL,OECD_MEI_FIN_IRST_SWE,OECD_MEI_FIN_IRST_USA,OECD_MEI_REAL_PRC_AUT,OECD_MEI_REAL_PRC_DEU,OECD_MEI_REAL_PRC_EU27_2020,OECD_MEI_REAL_PRC_POL,OECD_MEI_REAL_PRC_SWE,OECD_MEI_REAL_PRC_USA,OECD_MEI_REAL_PRI_AUT,OECD_MEI_REAL_PRI_CHE,OECD_MEI_REAL_PRI_DEU,OECD_MEI_REAL_PRI_DNK,OECD_MEI_REAL_PRI_EU27_2020,OECD_MEI_REAL_PRI_OECD,OECD_MEI_REAL_PRI_OECDE,OECD_MEI_REAL_PRI_POL,OECD_MEI_REAL_PRI_SWE,OECD_MEI_REAL_PRI_USA,OECD_MEI_REAL_PRM_AUT,OECD_MEI_REAL_PRM_CHE,OECD_MEI_REAL_PRM_DEU,OECD_MEI_REAL_PRM_DNK,OECD_MEI_REAL_PRM_EU27_2020,OECD_MEI_REAL_PRM_POL,OECD_MEI_REAL_PRM_SWE,OECD_MEI_REAL_PRM_USA,OECD_PRICES_CPI_CPI_AUT,OECD_PRICES_CPI_CPI_CHE,OECD_PRICES_CPI_CPI_DEU,OECD_PRICES_CPI_CPI_DNK,OECD_PRICES_CPI_CPI_EU27_2020,OECD_PRICES_CPI_CPI_POL,OECD_PRICES_CPI_CPI_SWE,OECD_PRICES_CPI_CPI_USA,OECD_PRICES_CPI_FHE_AUT,OECD_PRICES_CPI_FHE_CHE,OECD_PRICES_CPI_FHE_DEU,OECD_PRICES_CPI_FHE_DNK,OECD_PRICES_CPI_FHE_EU27_2020,OECD_PRICES_CPI_FHE_POL,OECD_PRICES_CPI_FHE_SWE,OECD_PRICES_CPI_FHE_USA,OECD_PRICES_CPI_HWE_AUT,OECD_PRICES_CPI_HWE_CHE,OECD_PRICES_CPI_HWE_DEU,OECD_PRICES_CPI_HWE_DNK,OECD_PRICES_CPI_HWE_EU27_2020,OECD_PRICES_CPI_HWE_POL,OECD_PRICES_CPI_HWE_SWE,OECD_PRICES_CPI_HWE_USA,OECD_QNA_GDP_AUT,OECD_QNA_GDP_CHE,OECD_QNA_GDP_CHN,OECD_QNA_GDP_DNK,OECD_QNA_GDP_EU27_2020,OECD_QNA_GDP_OECD,OECD_QNA_GDP_OECDE,OECD_QNA_GDP_POL,OECD_QNA_GDP_SWE,OECD_QNA_GDP_USA,OECD_STLABOUR_MUE_AUT,OECD_STLABOUR_MUE_DEU,OECD_STLABOUR_MUE_DNK,OECD_STLABOUR_MUE_EU27_2020,OECD_STLABOUR_MUE_POL,OECD_STLABOUR_MUE_SWE,OECD_STLABOUR_MUE_USA
2010-08-01,126,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-10.0,-17.32593,-10.9,-20.6,-15.7,-3.7,24.7,100.1854,101.5729,100.462,101.5099,100.7816,100.5584,100.6178,100.5531,100.4218,100.1934,101.3547,100.4368,100.617,102.0846,99.1612,101.1935,101.1526,99.23717,99.06078,99.21468,99.61846,99.98414,102.1211,97.99873,99.92008,102.2686,99.53008,0.4256,0.08,2.79,0.4256,0.4836,0.4256,3.75,0.19,2.7731,1.192,2.35,2.446,3.437019,5.62,2.45,2.7,1.039045,6.790123,5.775591,0.7754091,3.087682,7.303454,97.75919,89.63811,77.63793,102.724,102.8896,105.3334,104.111,103.938,90.88445,0.8955,0.2065693,2.44,0.8955,1.144545,0.8955,3.81,0.45,0.32,97.05322,96.65356,105.9801,84.30702,84.12601,73.78347,93.57988,,92.3969,92.10426,96.05122,93.95639,93.92088,83.56508,103.2984,91.80209,91.56266,,93.8,87.02383,94.07948,80.5491,105.2713,94.28966,0.3,0.0,0.1,0.4,0.1,-0.4,-0.1,0.2,0.1,0.4,0.1,1.1,0.2,-0.1,0.5,-0.2,0.3,-0.3,0.1,0.1,0.2,0.2,-0.2,0.0,1.032186329,0.468106039,,1.375300953,0.462134,0.837993871,0.635926,1.195111158,1.753730178,0.771084936,5.1,6.4,7.6,10.0,9.8,8.6,9.5
2010-09-01,127,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-10.5,-15.33327,-11.7,-18.7,-17.4,-3.7,40.4,100.2829,101.6647,101.3824,101.6394,100.5556,100.7457,100.8063,100.648,100.5537,100.2965,101.4801,100.5506,100.844,101.9852,98.69695,101.539,101.1615,99.49417,99.339,99.24026,99.70858,99.71795,102.1649,97.94814,99.9727,102.4666,99.59766,0.4536,0.08,2.79,0.4536,0.5178,0.4536,3.75,0.19,2.8028,1.372,2.300455,2.395,3.493312,5.49,2.53,2.65,1.001227,6.742023,5.687545,0.7639091,3.014836,7.039273,97.95619,91.82521,77.44704,102.444,102.852,105.501,105.7602,107.0853,89.85226,0.8805,0.2138121,2.56,0.8805,1.146023,0.8805,3.84,0.52,0.28,97.18041,97.8042,106.5338,85.10709,86.84373,74.4604,93.76373,,93.5567,101.7631,96.3714,94.14427,93.97008,84.79599,104.0991,92.05956,92.54913,,95.2,93.25729,94.83644,82.50349,108.5211,94.35423,0.4,-0.2,-0.2,0.4,0.3,0.5,0.8,0.1,-0.1,0.8,0.1,0.7,0.4,0.0,-0.8,-0.4,0.2,-0.1,0.1,-0.9,0.1,0.2,0.6,-0.3,1.032186329,0.468106039,,1.375300953,0.462134,0.837993871,0.635926,1.195111158,1.753730178,0.771084936,5.1,6.3,7.6,10.0,9.8,8.6,9.5
2010-10-01,128,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-2.5,-14.75,-9.1,-23.5,-13.2,-4.7,37.6,100.4506,101.8315,102.1443,101.7391,100.0832,100.9216,100.9743,100.765,100.6457,100.3085,101.2582,100.784,100.8337,101.8239,98.28493,101.7335,101.1748,99.59349,99.45181,99.28366,99.70824,99.52657,102.0647,98.04617,100.0941,102.632,99.72636,0.7013,0.05,2.79,0.7013,0.566,0.7013,3.75,0.19,2.8199,1.458,2.345714,2.456,3.330565,5.53,2.64,2.54,0.9694762,6.673173,5.368857,0.72,2.843381,6.682524,98.42257,91.09309,76.46576,103.5703,103.6281,108.673,107.0814,107.692,87.25838,0.9976667,0.2479178,2.75,0.9976667,1.19131,0.9976667,3.85,0.81,0.27,97.94361,98.14939,107.0875,86.10718,89.43793,74.58622,94.22336,94.2,95.58634,97.73859,97.11846,94.33004,95.14809,85.20629,104.0991,91.8117,92.63882,92.9,97.2,88.61275,95.37713,82.78269,108.6372,94.4189,0.4,0.6,0.1,-0.2,0.3,0.4,0.3,0.1,-0.1,-0.1,0.0,-0.7,0.1,0.0,0.2,0.0,0.0,0.5,0.2,0.0,0.3,0.5,0.1,-1.0,1.119877922,0.797334956,,-0.561470399,0.598415,0.559035995,0.726981,1.092945235,0.889025267,0.525110261,5.2,6.3,8.1,10.1,9.8,8.5,9.4
2010-11-01,129,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-7.5,-13.36993,-11.2,-24.2,-15.5,-3.9,41.0,100.5576,101.9554,102.3396,101.823,99.69537,101.0832,101.1462,100.9062,100.7655,100.2671,101.0828,101.0319,100.6363,101.6495,97.88236,101.8647,101.1742,99.61527,99.47982,99.3643,99.67461,99.41378,101.9828,98.30228,100.2222,102.7547,99.90695,0.5926,0.04,2.79,0.5926,0.6962,0.5926,3.75,0.19,3.0149,1.558,2.532727,2.652,3.720914,5.82,2.86,2.76,0.985,6.65578,5.466546,0.7334545,2.900227,6.827318,98.0856,90.94899,77.72415,103.0321,103.2059,107.3156,106.5529,107.1493,87.14729,1.042045,0.186001,3.38,1.042045,1.238727,1.042045,3.88,1.11,0.27,95.52682,97.45901,105.8693,85.90716,89.93206,74.40559,94.31528,94.2,95.00645,98.19854,97.97225,94.7188,95.54699,85.47983,107.0734,91.87644,93.62529,93.3,96.7,89.46832,96.13409,83.20149,109.3336,94.53017,0.0,-0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,-0.1,0.1,-0.1,0.0,0.1,0.2,-0.4,0.2,0.6,0.2,-0.1,0.2,0.2,0.6,-0.3,1.119877922,0.797334956,,-0.561470399,0.598415,0.559035995,0.726981,1.092945235,0.889025267,0.525110261,4.7,6.2,7.5,10.0,9.8,8.2,9.8
2010-12-01,130,16.40626,300.3189,43.36667,6.28168,194.272415161133,292.590209960938,291.580474853516,58.1653366088867,20.38169,51.58453,186.7505,24382.27,12283.6865234375,4690.9677734375,9010.612,-3.9,-12.54575,-10.5,-27.9,-14.4,-2.7,42.7,100.6466,101.9846,101.8958,101.8997,99.72512,101.2799,101.3342,101.0654,100.9513,100.247,100.9827,101.2254,100.4761,101.4941,97.52279,101.8669,101.054,99.49937,99.34653,99.39974,99.56384,99.39145,101.9481,98.55192,100.3218,102.8223,100.0998,0.4981,0.04,3.25,0.4981,0.7254,0.4981,3.75,0.18,3.4319,1.674,2.914762,3.012,4.069633,5.98,3.21,3.29,0.9673043,6.65361,5.639435,0.7567826,3.020391,6.846826,97.97141,94.26863,78.479,102.4294,101.6393,105.0849,104.7625,109.7114,87.56112,1.021696,0.1913681,4.94,1.021696,1.211667,1.021696,3.95,1.28,0.3,94.63642,86.75808,99.44629,84.30702,91.78505,72.6876,93.94759,95.1,96.84278,98.77348,98.50587,95.38208,95.91201,83.70184,106.1582,92.79155,93.53561,93.2,98.3,88.8572,96.35036,81.52629,108.7533,95.01138,0.7,0.0,1.2,0.1,0.6,0.3,0.6,0.2,0.0,-0.1,0.0,-0.7,0.0,0.0,0.0,-0.2,0.2,0.1,0.4,0.3,0.5,0.2,2.2,0.5,1.119877922,0.797334956,,-0.561470399,0.598415,0.559035995,0.726981,1.092945235,0.889025267,0.525110261,4.8,6.1,8.2,10.0,9.8,8.2,9.3
2011-01-01,131,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,12.1,-14.42,-8.3,-30.1,-11.8,1.6,44.3,100.7601,101.9108,101.3016,101.9595,100.0723,101.4331,101.4716,101.1835,101.0731,100.1311,101.1374,101.3712,100.4235,101.3679,97.46587,101.8122,100.9104,99.35809,99.16797,99.36163,99.42387,99.32486,101.9637,98.65965,100.4082,102.825,100.2639,0.659,0.04,3.25,0.659,0.6857,0.659,4.0,0.17,3.5407,1.818,3.016667,3.052,3.939051,6.26,3.28,3.39,0.9563333,6.603384,5.575953,0.7484095,2.90619,6.667524,97.6094,93.88926,78.5723,101.7253,101.336,104.0816,108.3482,110.4501,86.50207,1.017238,0.1508102,4.98,1.017238,1.216071,1.017238,4.09,1.49,0.29,92.47403,97.45901,106.2016,79.50662,88.07906,70.55738,95.41839,96.3,96.16624,98.31353,98.1857,95.77594,96.28968,86.16367,106.2726,92.59058,95.41888,95.4,98.1,90.69057,96.78291,83.89949,108.9854,95.0537,-0.1,-0.2,-0.5,0.1,-0.5,1.1,-0.9,0.6,0.2,-1.4,-0.1,0.4,-0.4,0.5,-1.4,0.4,0.6,0.8,1.3,1.4,1.3,2.0,0.0,0.5,0.759385872,0.564273816,2.3,0.684030547,0.966852,0.309775329,0.909978,1.512544609,0.953629318,-0.237204897,5.0,6.0,8.0,10.0,9.7,8.2,9.1
2011-02-01,132,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,1.5,-12.34515,-3.1,-15.2,-7.5,1.5,47.7,100.8013,101.7806,100.9561,102.0506,100.4117,101.5141,101.5377,101.2344,101.1187,100.2205,101.2682,101.4252,100.3684,101.2803,97.85474,101.7357,100.8106,99.25752,99.00834,99.25345,99.3276,99.01671,101.8584,98.61076,100.4847,102.7495,100.3637,0.7071,0.04,3.25,0.7071,0.6941,0.7071,4.0,0.16,3.6764,1.897,3.199,3.23,4.478728,6.26,3.41,3.58,0.94945,6.584036,5.4574,0.73225,2.873,6.4299,97.93747,92.97603,79.13251,102.2973,102.1387,104.9614,107.0207,112.4515,85.87248,1.08675,0.1395427,4.84,1.08675,1.23975,1.08675,4.15,1.74,0.28,98.07081,98.37952,107.0875,81.90682,87.0908,70.28989,95.78609,97.6,97.13273,97.04868,99.14621,95.61814,96.64585,88.07841,107.7598,92.20947,94.79112,99.7,99.2,88.61275,97.86429,85.57468,110.6103,95.2004,0.8,0.4,0.6,0.9,0.4,0.2,0.5,0.6,0.6,1.1,0.1,0.6,0.2,0.4,1.2,0.2,0.4,1.0,0.4,1.6,0.4,0.3,-0.1,0.4,0.759385872,0.564273816,2.3,0.684030547,0.966852,0.309775329,0.909978,1.512544609,0.953629318,-0.237204897,5.5,5.9,7.8,9.9,9.7,7.9,9.0
2011-03-01,133,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,0.5,-14.60288,-3.7,-11.6,-4.9,2.0,47.4,100.822,101.7143,100.9202,102.1132,100.8148,101.5414,101.5463,101.1966,101.1355,100.2929,101.3342,101.3236,100.2597,101.2314,98.63251,101.6129,100.7923,99.10814,98.78397,99.02493,99.2113,98.5619,101.6121,98.36825,100.5457,102.5907,100.3633,0.6587,0.04,3.25,0.6587,0.6978,0.6587,4.0,0.14,3.682,1.931,3.211739,3.289,4.490741,6.27,3.35,3.41,0.9187391,6.566244,5.320218,0.7135652,2.863522,6.347,98.72229,94.37141,78.34993,102.9749,102.9416,106.8928,105.4965,111.7533,85.57206,1.175522,0.1551242,4.02,1.175522,1.307391,1.175522,4.2,1.74,0.28,98.83401,98.72471,106.0908,88.70739,87.21433,71.11836,96.24571,94.3,97.51933,99.80836,99.14621,94.09174,96.31264,87.39458,106.387,93.16513,95.23952,94.3,99.8,91.17947,97.86429,84.73708,110.3782,95.79199,1.2,0.8,0.6,0.6,1.2,0.8,0.4,1.3,0.1,-0.3,0.2,1.0,0.5,0.4,-0.3,0.1,0.6,0.7,0.6,0.4,0.6,0.2,0.1,0.3,0.759385872,0.564273816,2.3,0.684030547,0.966852,0.309775329,0.909978,1.512544609,0.953629318,-0.237204897,5.0,5.7,7.9,9.9,9.8,8.1,9.0
2011-04-01,134,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,9.9,-12.82,-0.5,-13.1,-1.7,1.9,41.2,100.7807,101.5692,100.673,102.1353,101.3015,101.4804,101.4792,101.0521,101.0831,100.3493,101.3014,101.0617,100.1432,101.1658,99.06909,101.5134,100.8402,98.96037,98.59454,98.8932,99.14932,98.34692,101.3829,98.31018,100.5585,102.35,100.2596,0.9661,0.04,3.25,0.9661,0.9237,0.9661,4.25,0.1,3.7639,2.083,3.340526,3.416,4.660637,6.14,3.3,3.46,0.8968095,6.529183,5.156619,0.6917143,2.741095,6.195619,99.04099,94.27509,77.39962,103.0431,103.5073,108.2281,107.5193,111.4893,84.44907,1.321211,0.1394541,3.94,1.321211,1.412143,1.321211,4.3,1.8,0.23,98.9612,98.83978,106.0908,90.0075,90.05559,71.97079,96.33764,95.3,97.71263,98.19854,98.93276,94.0079,96.03216,88.35195,105.7007,92.85649,95.41888,95.9,100.3,90.81279,97.97243,85.15588,109.1015,95.26556,0.6,0.0,0.2,0.5,0.5,0.5,0.3,0.8,0.6,0.4,0.2,-0.5,0.2,0.1,0.2,0.1,0.4,0.2,0.3,0.4,0.5,0.3,-0.5,0.1,0.360434862,0.601928077,2.3,0.949005566,0.13498,0.372382653,0.311031,1.243235837,0.285945086,0.676582293,4.9,5.6,7.3,9.9,9.9,7.8,9.1
2011-05-01,135,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,0.2,-13.01,-0.3,-12.9,-4.4,0.3,42.2,100.5052,101.3231,100.158,102.091,101.4731,101.3106,101.3195,100.815,100.9657,100.2713,101.2756,100.6409,100.0164,101.0013,99.23051,101.4739,100.8624,98.90314,98.53556,98.88577,99.20652,98.61971,101.1742,98.29508,100.5291,102.0357,100.0643,1.0334,0.09,3.25,1.0334,0.9315,1.0334,4.5,0.09,3.528,1.849,3.060909,3.131,4.369147,6.06,3.01,3.17,0.8734091,6.49951,5.206273,0.6984546,2.750591,6.251727,98.81186,97.14172,77.39637,102.3729,103.158,106.9948,108.3007,111.2941,84.74259,1.425091,0.1194499,4.24,1.425091,1.457386,1.425091,4.45,1.91,0.21,100.3604,100.2205,107.4197,94.60789,93.63805,72.11618,96.98112,98.0,98.67912,101.7631,99.5731,94.93061,96.50815,87.80488,107.0734,92.9707,95.59824,99.6,101.6,93.37951,98.62125,85.57468,114.6726,95.2508,-0.1,-0.1,-0.1,0.1,0.1,0.5,0.0,0.6,-0.1,-0.2,0.0,0.9,0.2,0.3,0.3,0.2,0.0,-0.6,-0.1,0.0,-0.1,0.2,0.2,0.6,0.360434862,0.601928077,2.3,0.949005566,0.13498,0.372382653,0.311031,1.243235837,0.285945086,0.676582293,4.9,5.6,7.8,9.9,9.9,8.0,9.0
2011-06-01,136,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,1.5,-13.04,-0.1,-14.0,-5.0,-2.1,27.5,100.2866,101.0373,99.60956,101.9524,101.196,101.067,101.0773,100.611,100.791,100.1337,100.9966,100.3743,99.96122,100.6756,99.26144,101.4624,100.7666,98.87729,98.51014,98.80241,99.22367,98.92252,100.8803,97.99074,100.4538,101.6547,99.79974,1.124,0.09,3.25,1.124,0.998,1.124,4.75,0.09,3.4338,1.739,2.890909,2.958,4.378314,5.88,2.89,3.0,0.8399546,6.477838,5.176273,0.6941818,2.7525,6.324818,98.77234,100.3886,77.57573,102.6591,103.3476,107.4163,107.2699,109.2887,84.70889,1.488591,0.1020596,5.91,1.488591,1.506477,1.488591,4.69,1.85,0.22,100.4876,98.83978,105.4264,96.40804,96.47931,74.28928,96.88919,95.1,97.13273,99.80836,97.97225,95.15218,95.65868,87.39458,103.5272,93.24534,95.95695,95.7,100.0,93.25729,96.99919,85.01629,107.1283,95.36845,0.0,-0.1,0.0,-0.2,-0.1,-0.4,-0.3,-0.2,0.2,-0.7,-0.1,-0.4,0.1,0.2,-0.4,-0.1,0.3,-0.1,0.1,-0.1,0.2,0.1,-0.4,1.1,0.360434862,0.601928077,2.3,0.949005566,0.13498,0.372382653,0.311031,1.243235837,0.285945086,0.676582293,4.6,5.5,7.3,9.9,9.9,8.1,9.1
2011-07-01,137,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,7.7,-13.78,-1.0,-16.3,-5.8,-2.3,25.8,100.0492,100.6576,99.30958,101.7233,100.8515,100.7295,100.7397,100.379,100.5235,99.98722,100.5157,100.0893,99.81374,100.2905,98.9991,101.3028,100.4999,98.7327,98.35658,98.56606,99.08741,99.19811,100.3896,97.41898,100.3259,101.2243,99.51537,1.0118,0.05,3.25,1.0118,1.1624,1.0118,4.75,0.07,3.3464,1.436,2.743809,3.016,4.603357,5.81,2.75,3.0,0.8224762,6.461215,5.219,0.7000476,2.792524,6.387762,98.34673,102.0056,77.41134,102.431,102.8993,106.3517,105.8525,108.7392,83.95901,1.597619,0.09095547,5.89,1.597619,1.6625,1.597619,4.71,1.8,0.24,98.19801,99.53016,106.0908,97.60813,98.45583,73.56389,96.06187,97.3,100.2255,95.78383,99.03949,95.84551,96.64729,88.07841,106.0439,93.68802,95.68791,98.5,103.1,89.835,97.97243,85.71429,108.289,95.91704,-0.4,-0.8,0.4,-0.1,-0.5,-0.2,-0.3,0.1,0.2,-0.7,0.0,0.0,-0.5,0.1,0.0,-0.1,0.4,-0.2,0.3,1.5,0.6,0.5,-0.6,0.4,0.619496173,-0.297684116,1.8,-1.289492443,0.129862,0.58134634,0.366446,1.134256949,0.862395797,-0.022312736,4.3,5.5,8.2,10.0,9.9,7.9,9.0
2011-08-01,138,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,3.0,-14.72,-3.6,-13.3,-6.8,-3.3,13.7,99.72025,100.2305,99.20962,101.4242,100.4786,100.3532,100.367,100.1757,100.223,99.84855,100.1208,99.90375,99.50724,99.98444,98.5887,100.9746,100.206,98.42145,98.0112,98.28555,98.80738,99.2605,99.77344,96.93045,100.1395,100.7873,99.27428,0.9058,-0.29,3.25,0.9058,1.172,0.9058,4.75,0.1,2.8435,1.133,2.213478,2.494,4.208095,5.7,2.17,2.3,0.7801304,6.409026,5.198278,0.6976522,2.875826,6.398522,98.40639,106.9331,78.08941,102.5314,103.1293,106.9054,102.646,108.3058,84.72832,1.552087,-0.0675968,5.19,1.552087,1.60413,1.552087,4.72,1.71,0.29,99.47,99.64522,105.9801,94.00784,95.36751,74.6729,96.70534,95.5,99.45232,98.19854,99.03949,96.32347,96.84373,89.99316,103.5272,94.28448,96.04663,96.2,102.3,91.79059,98.08056,88.08749,104.807,96.33818,0.2,-0.6,0.0,0.0,0.1,0.0,-0.1,0.3,-0.2,-0.3,0.3,0.1,0.3,0.1,0.0,0.1,0.2,-0.4,0.0,-0.3,0.2,0.4,0.2,0.2,0.619496173,-0.297684116,1.8,-1.289492443,0.129862,0.58134634,0.366446,1.134256949,0.862395797,-0.022312736,4.4,5.4,7.6,10.1,10.0,7.9,9.0
2011-09-01,139,16.50025,317.4382,43.88765,6.237765,189.136810302734,289.765899658203,296.465576171875,58.3445358276367,22.51681,53.3982,189.2904,26941.14,12315.43359375,4794.89794921875,8960.769,0.0,-18.81,-6.8,-15.9,-9.4,-4.4,1.6,99.41697,99.87547,99.06242,101.1336,100.118,100.0127,100.0335,99.99677,99.90509,99.74824,99.75512,99.77965,99.06715,99.86397,98.03444,100.715,99.97652,98.14233,97.69615,98.17475,98.56264,99.28088,99.35572,96.85824,99.92739,100.4066,99.14592,1.0055,0.02,3.25,1.0055,1.0588,1.0055,4.75,0.08,2.6431,1.003,1.829091,2.071,4.03797,5.74,1.83,1.98,0.8728182,6.3828,5.412045,0.727,3.151546,6.641,98.99916,98.95927,80.68581,102.4521,102.9115,106.434,97.41946,108.9673,87.07206,1.536455,-0.06107027,5.69,1.536455,1.436591,1.536455,4.76,1.58,0.33,98.3252,100.2205,106.3123,100.4084,98.57937,75.07581,96.70534,97.8,97.90593,96.47375,98.39915,96.12871,96.27665,90.81377,105.3575,94.2121,96.22599,97.1,100.6,91.54614,97.3236,89.34388,106.6641,96.58587,0.6,0.5,0.1,0.3,0.6,0.0,0.7,0.2,0.3,1.1,0.0,0.0,0.5,0.1,0.8,-0.2,0.5,0.5,0.3,-0.7,0.2,0.3,-0.7,0.1,0.619496173,-0.297684116,1.8,-1.289492443,0.129862,0.58134634,0.366446,1.134256949,0.862395797,-0.022312736,4.4,5.4,7.0,10.2,10.1,7.7,9.0
